topic,key,schedule
Load Balancing,load_balancing,Week 10 - Day 1
Capacity Planning,capacity_planning,Week 10 - Day 2
Concurrency,concurrency,Week 10 - Day 3
Fault Tolerance,FAULT_TOLERANCE,Week 10 - Day 4
Replication Strategies,REPLICATION_STRATEGIES,Week 10 - Day 5
Sharding Strategies,SHARDING_STRATEGIES,Week 10 - Day 6
Content Delivery Networks,content_delivery_networks,Week 11 - Day 0
Serverless Computing,serverless_computing,Week 11 - Day 1
Real-Time Data Processing,real_time_data_processing,Week 11 - Day 2
Distributed Streaming,distributed_streaming,Week 11 - Day 3
Distributed Systems,distributed_systems,Week 11 - Day 4
Distributed System Patterns,distributed_system_patterns,Week 11 - Day 5
CAP Theorem,cap_theorem,Week 11 - Day 6
Internet Architecture,internet_architecture,Week 12 - Day 0
System Design Interviews,system_design_interviews,Week 12 - Day 1
Location-Based Services,location_based_services,Week 12 - Day 2
Scan to Pay,scan_to_pay,Week 12 - Day 3
Payment Tokenization,payment_tokenization,Week 12 - Day 4
Apache Kafka,apache_kafka,Week 12 - Day 5
Data Pipelines,data_pipelines,Week 12 - Day 6
Event-Driven Architecture,EVENT_DRIVEN_ARCHITECTURE,Week 13 - Day 0
Large Language Models,large_language_models,Week 13 - Day 1
Open Source AI Stack,open_source_ai_stack,Week 13 - Day 2
Generative AI,generative_ai,Week 13 - Day 3
AI Agents,ai_agents,Week 13 - Day 4
ChatGPT Integration,chatgpt_integration,Week 13 - Day 5
Model Context Protocol (MCP),model_context_protocol_(mcp),Week 13 - Day 6
Netflix API Architecture,netflix_api_architecture,Week 14 - Day 0
AWS Architecture,aws_architecture,Week 14 - Day 1
Web Application Architecture,web_application_architecture,Week 14 - Day 2
Rate Limiting & Throttling,RATE_LIMITING,Week 14 - Day 3
Circuit Breakers & Retries,CIRCUIT_BREAKERS,Week 14 - Day 4
Zero Trust Architecture,ZERO_TRUST_ARCHITECTURE,Week 14 - Day 5
Audit Logging & Observability,OBSERVABILITY,Week 14 - Day 6
Service Discovery,SERVICE_DISCOVERY,Week 15 - Day 0
Leader Election,LEADER_ELECTION,Week 15 - Day 1
ID Generation Strategies,ID_GENERATION,Week 15 - Day 2
Job Scheduling & Cron Systems,JOB_SCHEDULING,Week 15 - Day 3
"Metrics, Logging, Tracing",MONITORING_LOGGING_TRACING,Week 15 - Day 4
SLA/SLO/SLI,SLA_SLO_SLI,Week 15 - Day 5
Load Testing Tools,LOAD_TESTING,Week 15 - Day 6
Tradeoff Analysis,TRADEOFF_ANALYSIS,Week 16 - Day 0
Cost Optimization,COST_OPTIMIZATION,Week 16 - Day 1
Infrastructure as Code,INFRASTRUCTURE_AS_CODE,Week 16 - Day 2
Service Mesh,SERVICE_MESH,Week 16 - Day 3
Blue-Green/Canary Deployments,CANARY_DEPLOYMENTS,Week 16 - Day 4
